.COMMENT Prompt string: "#93"

.PEN_DOWN
74 3014 0
78 3014 1
80 3014 2
82 3014 3
84 3014 4
86 3014 5
88 3014 6
90 3014 7
93 3014 8
94 3014 9
96 3014 10
98 3014 11
100 3014 12
101 3014 13
103 3014 14
105 3014 15
107 3014 16
109 3014 17
110 3014 18
112 3014 19
114 3014 20
115 3014 21
116 3014 22
117 3014 23
119 3014 24
122 3014 25
124 3014 26
129 3014 27
130 3014 28
131 3014 29
132 3014 30
133 3014 31
135 3014 32
136 3014 33
138 3014 34
139 3014 35
140 3014 36
141 3014 37
142 3014 38
143 3014 39
143 3013 40
143 3011 41
143 3010 42
144 3008 43
144 3006 44
144 3005 45
144 3003 46
144 3001 47
144 2999 48
144 2998 49
144 2996 50
144 2994 51
144 2992 52
144 2990 53
144 2988 54
144 2986 55
144 2984 56
144 2982 57
144 2980 58
144 2977 59
144 2975 60
144 2973 61
144 2971 62
144 2969 63
144 2966 64
145 2964 65
145 2962 66
145 2957 67
145 2955 68
145 2954 69
145 2952 70
145 2950 71
145 2949 72
145 2939 73
145 2937 74
145 2935 75
145 2918 76
145 2916 77
145 2914 78
145 2913 79
145 2911 80
145 2910 81
145 2908 82
145 2907 83
145 2906 84
145 2902 85
145 2901 86
145 2899 87
145 2898 88
145 2897 89
145 2896 90
145 2895 91
145 2894 92
145 2893 93
145 2892 94
145 2891 95
145 2890 96
145 2889 97
145 2888 98
145 2887 99
145 2886 100
145 2885 101
145 2884 102
145 2883 103
145 2882 104
145 2881 105
144 2881 106
143 2881 107
142 2881 108
139 2881 109
138 2881 110
136 2881 111
133 2881 112
131 2881 113
129 2882 114
127 2882 115
126 2882 116
124 2883 117
123 2883 118
121 2883 119
119 2883 120
117 2884 121
114 2884 122
113 2884 123
112 2884 124
111 2884 125
109 2884 126
108 2884 127
106 2884 128
103 2884 129
101 2884 130
100 2884 131
98 2884 132
96 2884 133
93 2884 134
92 2884 135
91 2884 136
89 2884 137
87 2884 138
85 2884 139
84 2884 140
83 2884 141
82 2884 142
81 2884 143
80 2884 144
79 2884 145
78 2884 146
77 2884 147
76 2884 148
75 2884 149
75 2884 150
.PEN_UP

